Data Table for Daily Case Trends - Oregon
Date generated: Mon Dec 06 2021 14:15:58 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg
Oregon,Jun 20 2021,262,249
Oregon,Jun 19 2021,262,235
Oregon,Jun 18 2021,262,237
Oregon,Jun 17 2021,290,242
Oregon,Jun 16 2021,239,252
Oregon,Jun 15 2021,305,255
Oregon,Jun 14 2021,125,254
Oregon,Jun 13 2021,164,253
Oregon,Jun 12 2021,278,267
Oregon,Jun 11 2021,296,273
Oregon,Jun 10 2021,358,292
Oregon,Jun  9 2021,262,276
Oregon,Jun  8 2021,297,288
Oregon,Jun  7 2021,122,271
Oregon,Jun  6 2021,257,284
Oregon,Jun  5 2021,320,284
Oregon,Jun  4 2021,428,291
Oregon,Jun  3 2021,251,291
Oregon,Jun  2 2021,347,316
Oregon,Jun  1 2021,174,322
Oregon,May 31 2021,215,357
Oregon,May 30 2021,256,367
Oregon,May 29 2021,372,378
Oregon,May 28 2021,422,397
Oregon,May 27 2021,426,407
Oregon,May 26 2021,393,428
Oregon,May 25 2021,419,428
Oregon,May 24 2021,283,441
Oregon,May 23 2021,333,429
Oregon,May 22 2021,505,453
Oregon,May 21 2021,495,472
Oregon,May 20 2021,569,517
Oregon,May 19 2021,397,539
Oregon,May 18 2021,508,567
Oregon,May 17 2021,198,586
Oregon,May 16 2021,505,611
Oregon,May 15 2021,637,625
Oregon,May 14 2021,810,650
Oregon,May 13 2021,718,652
Oregon,May 12 2021,598,656
Oregon,May 11 2021,642,686
Oregon,May 10 2021,369,699
Oregon,May  9 2021,601,723
Oregon,May  8 2021,818,743
Oregon,May  7 2021,824,739
Oregon,May  6 2021,745,761
Oregon,May  5 2021,806,785
Oregon,May  4 2021,734,795
Oregon,May  3 2021,533,793
Oregon,May  2 2021,747,806
Oregon,May  1 2021,785,809
Oregon,Apr 30 2021,982,813
Oregon,Apr 29 2021,914,817
Oregon,Apr 28 2021,876,826
Oregon,Apr 27 2021,719,840
Oregon,Apr 26 2021,621,818
Oregon,Apr 25 2021,770,797
Oregon,Apr 24 2021,810,775
Oregon,Apr 23 2021,1010,784
Oregon,Apr 22 2021,976,739
Oregon,Apr 21 2021,977,704
Oregon,Apr 20 2021,565,679
Oregon,Apr 19 2021,471,677
Oregon,Apr 18 2021,620,650
Oregon,Apr 17 2021,875,630
Oregon,Apr 16 2021,695,612
Oregon,Apr 15 2021,725,590
Oregon,Apr 14 2021,808,582
Oregon,Apr 13 2021,548,534
Oregon,Apr 12 2021,282,531
Oregon,Apr 11 2021,483,526
Oregon,Apr 10 2021,747,515
Oregon,Apr  9 2021,543,475
Oregon,Apr  8 2021,667,467
Oregon,Apr  7 2021,470,445
Oregon,Apr  6 2021,530,441
Oregon,Apr  5 2021,246,423
Oregon,Apr  4 2021,402,418
Oregon,Apr  3 2021,467,396
Oregon,Apr  2 2021,489,388
Oregon,Apr  1 2021,512,388
Oregon,Mar 31 2021,442,375
Oregon,Mar 30 2021,406,364
Oregon,Mar 29 2021,212,351
Oregon,Mar 28 2021,250,345
Oregon,Mar 27 2021,407,340
Oregon,Mar 26 2021,489,328
Oregon,Mar 25 2021,421,312
Oregon,Mar 24 2021,369,299
Oregon,Mar 23 2021,310,280
Oregon,Mar 22 2021,175,274
Oregon,Mar 21 2021,211,273
Oregon,Mar 20 2021,326,275
Oregon,Mar 19 2021,372,279
Oregon,Mar 18 2021,336,282
Oregon,Mar 17 2021,236,285
Oregon,Mar 16 2021,262,291
Oregon,Mar 15 2021,171,324
Oregon,Mar 14 2021,225,333
Oregon,Mar 13 2021,355,330
Oregon,Mar 12 2021,393,307
Oregon,Mar 11 2021,353,281
Oregon,Mar 10 2021,284,286
Oregon,Mar  9 2021,492,281
Oregon,Mar  8 2021,230,246
Oregon,Mar  7 2021,206,241
Oregon,Mar  6 2021,195,252
Oregon,Mar  5 2021,211,286
Oregon,Mar  4 2021,386,302
Oregon,Mar  3 2021,250,317
Oregon,Mar  2 2021,250,341
Oregon,Mar  1 2021,190,379
Oregon,Feb 28 2021,282,397
Oregon,Feb 27 2021,437,372
Oregon,Feb 26 2021,324,384
Oregon,Feb 25 2021,492,405
Oregon,Feb 24 2021,417,400
Oregon,Feb 23 2021,511,395
Oregon,Feb 22 2021,316,381
Oregon,Feb 21 2021,107,362
Oregon,Feb 20 2021,521,382
Oregon,Feb 19 2021,477,373
Oregon,Feb 18 2021,456,375
Oregon,Feb 17 2021,382,397
Oregon,Feb 16 2021,411,420
Oregon,Feb 15 2021,183,435
Oregon,Feb 14 2021,247,451
Oregon,Feb 13 2021,458,470
Oregon,Feb 12 2021,494,491
Oregon,Feb 11 2021,607,537
Oregon,Feb 10 2021,543,552
Oregon,Feb  9 2021,513,564
Oregon,Feb  8 2021,297,578
Oregon,Feb  7 2021,381,672
Oregon,Feb  6 2021,604,617
Oregon,Feb  5 2021,817,629
Oregon,Feb  4 2021,715,648
Oregon,Feb  3 2021,627,648
Oregon,Feb  2 2021,605,660
Oregon,Feb  1 2021,957,683
Oregon,Jan 31 2021,0,606
Oregon,Jan 30 2021,687,688
Oregon,Jan 29 2021,946,698
Oregon,Jan 28 2021,720,687
Oregon,Jan 27 2021,708,703
Oregon,Jan 26 2021,768,698
Oregon,Jan 25 2021,419,676
Oregon,Jan 24 2021,568,709
Oregon,Jan 23 2021,761,741
Oregon,Jan 22 2021,866,797
Oregon,Jan 21 2021,831,818
Oregon,Jan 20 2021,674,861
Oregon,Jan 19 2021,617,955
Oregon,Jan 18 2021,646,1034
Oregon,Jan 17 2021,793,1074
Oregon,Jan 16 2021,1154,1133
Oregon,Jan 15 2021,1012,1201
Oregon,Jan 14 2021,1137,1308
Oregon,Jan 13 2021,1329,1269
Oregon,Jan 12 2021,1173,1184
Oregon,Jan 11 2021,924,1164
Oregon,Jan 10 2021,1207,1134
Oregon,Jan  9 2021,1629,1161
Oregon,Jan  8 2021,1762,1276
Oregon,Jan  7 2021,862,1025
Oregon,Jan  6 2021,735,1137
Oregon,Jan  5 2021,1035,1180
Oregon,Jan  4 2021,708,1129
Oregon,Jan  3 2021,1397,1145
Oregon,Jan  2 2021,2439,1146
Oregon,Jan  1 2021,0,884
Oregon,Dec 31 2020,1649,1012
Oregon,Dec 30 2020,1033,898
Oregon,Dec 29 2020,682,879
Oregon,Dec 28 2020,820,970
Oregon,Dec 27 2020,1399,970
Oregon,Dec 26 2020,608,930
Oregon,Dec 25 2020,897,1058
Oregon,Dec 24 2020,851,1126
Oregon,Dec 23 2020,897,1192
Oregon,Dec 22 2020,1318,1283
Oregon,Dec 21 2020,825,1249
Oregon,Dec 20 2020,1116,1296
Oregon,Dec 19 2020,1506,1282
Oregon,Dec 18 2020,1372,1269
Oregon,Dec 17 2020,1314,1299
Oregon,Dec 16 2020,1530,1333
Oregon,Dec 15 2020,1082,1287
Oregon,Dec 14 2020,1157,1317
Oregon,Dec 13 2020,1014,1336
Oregon,Dec 12 2020,1419,1370
Oregon,Dec 11 2020,1582,1426
Oregon,Dec 10 2020,1551,1506
Oregon,Dec  9 2020,1205,1446
Oregon,Dec  8 2020,1294,1489
Oregon,Dec  7 2020,1292,1479
Oregon,Dec  6 2020,1253,1482
Oregon,Dec  5 2020,1806,1533
Oregon,Dec  4 2020,2144,1515
Oregon,Dec  3 2020,1133,1326
Oregon,Dec  2 2020,1506,1379
Oregon,Dec  1 2020,1223,1331
Oregon,Nov 30 2020,1311,1299
Oregon,Nov 29 2020,1614,1278
Oregon,Nov 28 2020,1674,1262
Oregon,Nov 27 2020,826,1236
Oregon,Nov 26 2020,1503,1304
Oregon,Nov 25 2020,1170,1262
Oregon,Nov 24 2020,1000,1251
Oregon,Nov 23 2020,1163,1241
Oregon,Nov 22 2020,1502,1184
Oregon,Nov 21 2020,1493,1092
Oregon,Nov 20 2020,1302,1034
Oregon,Nov 19 2020,1204,999
Oregon,Nov 18 2020,1099,985
Oregon,Nov 17 2020,924,951
Oregon,Nov 16 2020,766,927
Oregon,Nov 15 2020,862,918
Oregon,Nov 14 2020,1081,918
Oregon,Nov 13 2020,1058,904
Oregon,Nov 12 2020,1109,862
Oregon,Nov 11 2020,861,817
Oregon,Nov 10 2020,754,778
Oregon,Nov  9 2020,707,739
Oregon,Nov  8 2020,861,717
Oregon,Nov  7 2020,979,666
Oregon,Nov  6 2020,769,602
Oregon,Nov  5 2020,790,578
Oregon,Nov  4 2020,589,545
Oregon,Nov  3 2020,482,521
Oregon,Nov  2 2020,549,506
Oregon,Nov  1 2020,508,475
Oregon,Oct 31 2020,533,510
Oregon,Oct 30 2020,595,434
Oregon,Oct 29 2020,565,426
Oregon,Oct 28 2020,420,397
Oregon,Oct 27 2020,372,381
Oregon,Oct 26 2020,335,377
Oregon,Oct 25 2020,753,367
Oregon,Oct 24 2020,0,290
Oregon,Oct 23 2020,538,344
Oregon,Oct 22 2020,367,326
Oregon,Oct 21 2020,307,326
Oregon,Oct 20 2020,342,336
Oregon,Oct 19 2020,262,332
Oregon,Oct 18 2020,216,325
Oregon,Oct 17 2020,381,398
Oregon,Oct 16 2020,410,344
Oregon,Oct 15 2020,365,344
Oregon,Oct 14 2020,380,360
Oregon,Oct 13 2020,313,348
Oregon,Oct 12 2020,212,345
Oregon,Oct 11 2020,729,355
Oregon,Oct 10 2020,0,287
Oregon,Oct  9 2020,410,337
Oregon,Oct  8 2020,482,322
Oregon,Oct  7 2020,294,303
Oregon,Oct  6 2020,291,292
Oregon,Oct  5 2020,279,293
Oregon,Oct  4 2020,259,278
Oregon,Oct  3 2020,348,275
Oregon,Oct  2 2020,301,264
Oregon,Oct  1 2020,353,285
Oregon,Sep 30 2020,218,286
Oregon,Sep 29 2020,297,282
Oregon,Sep 28 2020,174,285
Oregon,Sep 27 2020,239,288
Oregon,Sep 26 2020,267,283
Oregon,Sep 25 2020,449,281
Oregon,Sep 24 2020,362,257
Oregon,Sep 23 2020,190,236
Oregon,Sep 22 2020,318,235
Oregon,Sep 21 2020,194,215
Oregon,Sep 20 2020,202,209
Oregon,Sep 19 2020,257,206
Oregon,Sep 18 2020,282,211
Oregon,Sep 17 2020,210,200
Oregon,Sep 16 2020,188,197
Oregon,Sep 15 2020,178,186
Oregon,Sep 14 2020,147,184
Oregon,Sep 13 2020,181,184
Oregon,Sep 12 2020,291,185
Oregon,Sep 11 2020,211,180
Oregon,Sep 10 2020,183,188
Oregon,Sep  9 2020,116,199
Oregon,Sep  8 2020,165,201
Oregon,Sep  7 2020,146,211
Oregon,Sep  6 2020,188,212
Oregon,Sep  5 2020,255,223
Oregon,Sep  4 2020,265,221
Oregon,Sep  3 2020,261,225
Oregon,Sep  2 2020,129,214
Oregon,Sep  1 2020,233,222
Oregon,Aug 31 2020,159,222
Oregon,Aug 30 2020,261,231
Oregon,Aug 29 2020,239,226
Oregon,Aug 28 2020,293,233
Oregon,Aug 27 2020,190,228
Oregon,Aug 26 2020,180,243
Oregon,Aug 25 2020,236,245
Oregon,Aug 24 2020,218,243
Oregon,Aug 23 2020,227,212
Oregon,Aug 22 2020,289,283
Oregon,Aug 21 2020,256,300
Oregon,Aug 20 2020,295,308
Oregon,Aug 19 2020,194,305
Oregon,Aug 18 2020,225,313
Oregon,Aug 17 2020,0,322
Oregon,Aug 16 2020,726,353
Oregon,Aug 15 2020,405,286
Oregon,Aug 14 2020,313,282
Oregon,Aug 13 2020,278,296
Oregon,Aug 12 2020,248,292
Oregon,Aug 11 2020,286,296
Oregon,Aug 10 2020,216,303
Oregon,Aug  9 2020,262,310
Oregon,Aug  8 2020,374,313
Oregon,Aug  7 2020,411,306
Oregon,Aug  6 2020,247,299
Oregon,Aug  5 2020,279,322
Oregon,Aug  4 2020,333,326
Oregon,Aug  3 2020,269,325
Oregon,Aug  2 2020,280,334
Oregon,Aug  1 2020,324,332
Oregon,Jul 31 2020,362,341
Oregon,Jul 30 2020,410,345
Oregon,Jul 29 2020,305,332
Oregon,Jul 28 2020,328,325
Oregon,Jul 27 2020,330,320
Oregon,Jul 26 2020,266,311
Oregon,Jul 25 2020,388,334
Oregon,Jul 24 2020,391,328
Oregon,Jul 23 2020,319,314
Oregon,Jul 22 2020,255,330
Oregon,Jul 21 2020,292,333
Oregon,Jul 20 2020,268,344
Oregon,Jul 19 2020,430,344
Oregon,Jul 18 2020,347,328
Oregon,Jul 17 2020,293,335
Oregon,Jul 16 2020,428,331
Oregon,Jul 15 2020,276,323
Oregon,Jul 14 2020,367,314
Oregon,Jul 13 2020,268,291
Oregon,Jul 12 2020,319,277
Oregon,Jul 11 2020,397,274
Oregon,Jul 10 2020,266,259
Oregon,Jul  9 2020,369,270
Oregon,Jul  8 2020,214,269
Oregon,Jul  7 2020,210,278
Oregon,Jul  6 2020,165,272
Oregon,Jul  5 2020,300,269
Oregon,Jul  4 2020,294,262
Oregon,Jul  3 2020,342,259
Oregon,Jul  2 2020,363,246
Oregon,Jul  1 2020,275,212
Oregon,Jun 30 2020,171,197
Oregon,Jun 29 2020,144,200
Oregon,Jun 28 2020,247,200
Oregon,Jun 27 2020,276,192
Oregon,Jun 26 2020,250,178
Oregon,Jun 25 2020,124,171
Oregon,Jun 24 2020,170,175
Oregon,Jun 23 2020,191,168
Oregon,Jun 22 2020,146,180
Oregon,Jun 21 2020,187,185
Oregon,Jun 20 2020,178,173
Oregon,Jun 19 2020,206,170
Oregon,Jun 18 2020,148,161
Oregon,Jun 17 2020,120,165
Oregon,Jun 16 2020,278,158
Oregon,Jun 15 2020,184,128
Oregon,Jun 14 2020,101,118
Oregon,Jun 13 2020,158,124
Oregon,Jun 12 2020,140,115
Oregon,Jun 11 2020,177,109
Oregon,Jun 10 2020,72,94
Oregon,Jun  9 2020,66,93
Oregon,Jun  8 2020,114,88
Oregon,Jun  7 2020,146,80
Oregon,Jun  6 2020,92,68
Oregon,Jun  5 2020,96,62
Oregon,Jun  4 2020,75,55
Oregon,Jun  3 2020,64,51
Oregon,Jun  2 2020,33,52
Oregon,Jun  1 2020,59,50
Oregon,May 31 2020,58,45
Oregon,May 30 2020,54,42
Oregon,May 29 2020,45,38
Oregon,May 28 2020,48,38
Oregon,May 27 2020,71,33
Oregon,May 26 2020,18,34
Oregon,May 25 2020,22,37
Oregon,May 24 2020,39,43
Oregon,May 23 2020,24,39
Oregon,May 22 2020,47,46
Oregon,May 21 2020,16,48
Oregon,May 20 2020,75,55
Oregon,May 19 2020,39,52
Oregon,May 18 2020,64,57
Oregon,May 17 2020,11,56
Oregon,May 16 2020,71,64
Oregon,May 15 2020,62,67
Oregon,May 14 2020,63,70
Oregon,May 13 2020,58,71
Oregon,May 12 2020,72,74
Oregon,May 11 2020,58,75
Oregon,May 10 2020,68,78
Oregon,May  9 2020,92,75
Oregon,May  8 2020,79,69
Oregon,May  7 2020,73,68
Oregon,May  6 2020,77,67
Oregon,May  5 2020,80,64
Oregon,May  4 2020,79,57
Oregon,May  3 2020,45,52
Oregon,May  2 2020,56,54
Oregon,May  1 2020,69,57
Oregon,Apr 30 2020,64,54
Oregon,Apr 29 2020,61,55
Oregon,Apr 28 2020,31,54
Oregon,Apr 27 2020,43,56
Oregon,Apr 26 2020,58,57
Oregon,Apr 25 2020,76,58
Oregon,Apr 24 2020,50,56
Oregon,Apr 23 2020,68,55
Oregon,Apr 22 2020,57,56
Oregon,Apr 21 2020,46,52
Oregon,Apr 20 2020,46,53
Oregon,Apr 19 2020,66,54
Oregon,Apr 18 2020,59,56
Oregon,Apr 17 2020,49,59
Oregon,Apr 16 2020,73,59
Oregon,Apr 15 2020,30,60
Oregon,Apr 14 2020,49,64
Oregon,Apr 13 2020,57,64
Oregon,Apr 12 2020,80,65
Oregon,Apr 11 2020,76,64
Oregon,Apr 10 2020,50,67
Oregon,Apr  9 2020,82,70
Oregon,Apr  8 2020,58,71
Oregon,Apr  7 2020,49,70
Oregon,Apr  6 2020,64,75
Oregon,Apr  5 2020,69,74
Oregon,Apr  4 2020,100,74
Oregon,Apr  3 2020,73,69
Oregon,Apr  2 2020,90,72
Oregon,Apr  1 2020,46,67
Oregon,Mar 31 2020,84,68
Oregon,Mar 30 2020,58,59
Oregon,Mar 29 2020,69,55
Oregon,Mar 28 2020,65,48
Oregon,Mar 27 2020,98,42
Oregon,Mar 26 2020,50,32
Oregon,Mar 25 2020,57,27
Oregon,Mar 24 2020,18,20
Oregon,Mar 23 2020,30,20
Oregon,Mar 22 2020,24,17
Oregon,Mar 21 2020,23,16
Oregon,Mar 20 2020,26,12
Oregon,Mar 19 2020,13,9
Oregon,Mar 18 2020,10,8
Oregon,Mar 17 2020,18,7
Oregon,Mar 16 2020,8,4
Oregon,Mar 15 2020,15,3
Oregon,Mar 14 2020,0,2
Oregon,Mar 13 2020,0,3
Oregon,Mar 12 2020,5,3
Oregon,Mar 11 2020,4,2
Oregon,Mar 10 2020,1,1
Oregon,Mar  9 2020,0,1
Oregon,Mar  8 2020,7,1
Oregon,Mar  7 2020,4,0
Oregon,Mar  6 2020,0,0
Oregon,Mar  5 2020,0,0
Oregon,Mar  4 2020,0,0
Oregon,Mar  3 2020,0,0
Oregon,Mar  2 2020,2,0
Oregon,Mar  1 2020,0,0
Oregon,Feb 29 2020,1,0
Oregon,Feb 28 2020,0,0
Oregon,Feb 27 2020,0,0
Oregon,Feb 26 2020,0,0
Oregon,Feb 25 2020,0,0
Oregon,Feb 24 2020,0,0
Oregon,Feb 23 2020,0,0
Oregon,Feb 22 2020,0,0
Oregon,Feb 21 2020,0,0
Oregon,Feb 20 2020,0,0
Oregon,Feb 19 2020,0,0
Oregon,Feb 18 2020,0,0
Oregon,Feb 17 2020,0,0
Oregon,Feb 16 2020,0,0
Oregon,Feb 15 2020,0,0
Oregon,Feb 14 2020,0,0
Oregon,Feb 13 2020,0,0
Oregon,Feb 12 2020,0,0
Oregon,Feb 11 2020,0,0
Oregon,Feb 10 2020,0,0
Oregon,Feb  9 2020,0,0
Oregon,Feb  8 2020,0,0
Oregon,Feb  7 2020,0,0
Oregon,Feb  6 2020,0,0
Oregon,Feb  5 2020,0,0
Oregon,Feb  4 2020,0,0
Oregon,Feb  3 2020,0,0
Oregon,Feb  2 2020,0,0
Oregon,Feb  1 2020,0,0
Oregon,Jan 31 2020,0,0
Oregon,Jan 30 2020,0,0
Oregon,Jan 29 2020,0,0
Oregon,Jan 28 2020,0,0
Oregon,Jan 27 2020,0,0
Oregon,Jan 26 2020,0,0
Oregon,Jan 25 2020,0,0
Oregon,Jan 24 2020,0,0
Oregon,Jan 23 2020,0,0
